,[0 0 0 0 0 0],[0 0 0 0 0 1],[0 0 0 0 1 0],[0 0 0 0 1 1],[0 0 0 1 0 0],[0 0 0 1 0 1],[0 0 0 1 1 0],[0 0 0 1 1 1],[0 0 1 0 0 0],[0 0 1 0 0 1],[0 0 1 0 1 0],[0 0 1 0 1 1],[0 0 1 1 0 0],[0 0 1 1 0 1],[0 0 1 1 1 0],[0 0 1 1 1 1],[0 1 0 0 0 0],[0 1 0 0 0 1],[0 1 0 0 1 0],[0 1 0 0 1 1],[0 1 0 1 0 0],[0 1 0 1 0 1],[0 1 0 1 1 0],[0 1 0 1 1 1],[0 1 1 0 0 0],[0 1 1 0 0 1],[0 1 1 0 1 0],[0 1 1 0 1 1],[0 1 1 1 0 0],[0 1 1 1 0 1],[0 1 1 1 1 0],[0 1 1 1 1 1],[1 0 0 0 0 0],[1 0 0 0 0 1],[1 0 0 0 1 0],[1 0 0 0 1 1],[1 0 0 1 0 0],[1 0 0 1 0 1],[1 0 0 1 1 0],[1 0 0 1 1 1],[1 0 1 0 0 0],[1 0 1 0 0 1],[1 0 1 0 1 0],[1 0 1 0 1 1],[1 0 1 1 0 0],[1 0 1 1 0 1],[1 0 1 1 1 0],[1 0 1 1 1 1],[1 1 0 0 0 0],[1 1 0 0 0 1],[1 1 0 0 1 0],[1 1 0 0 1 1],[1 1 0 1 0 0],[1 1 0 1 0 1],[1 1 0 1 1 0],[1 1 0 1 1 1],[1 1 1 0 0 0],[1 1 1 0 0 1],[1 1 1 0 1 0],[1 1 1 0 1 1],[1 1 1 1 0 0],[1 1 1 1 0 1],[1 1 1 1 1 0],[1 1 1 1 1 1]
[0 1 1 1 1 0],0.648,0.491,0.5,0.547,0.508,0.509,0.5,0.64,0.508,0.525,0.516,0.556,0.483,0.509,0.5,0.787,0.523,0.509,0.516,0.556,0.483,0.569,0.5,0.647,0.483,0.509,0.483,0.579,0.436,0.491,1.0,0.719,0.569,0.5,0.5,0.556,0.508,0.517,0.5,0.647,0.492,0.517,0.545,0.564,0.466,0.533,0.5,0.792,0.508,0.5,0.483,0.564,0.466,0.533,0.5,0.654,0.446,0.481,0.444,0.556,0.34,0.417,0.5,0.778
[0 1 1 1 1 1],0.578,0.431,0.432,0.455,0.446,0.438,0.41,0.5,0.446,0.453,0.439,0.455,0.418,0.431,0.37,0.6,0.459,0.438,0.439,0.455,0.418,0.488,0.403,0.5,0.418,0.431,0.403,0.471,0.37,0.406,0.281,1.0,0.5,0.431,0.425,0.455,0.439,0.438,0.403,0.5,0.425,0.438,0.459,0.455,0.395,0.446,0.361,0.6,0.439,0.423,0.403,0.455,0.395,0.446,0.395,0.5,0.378,0.397,0.361,0.438,0.281,0.328,0.021,0.5
[1 0 0 0 0 0],0.5,0.021,0.328,0.281,0.438,0.361,0.397,0.378,0.5,0.395,0.446,0.395,0.455,0.403,0.423,0.439,0.6,0.361,0.446,0.395,0.455,0.459,0.438,0.425,0.5,0.403,0.438,0.439,0.455,0.425,0.431,0.5,1.0,0.281,0.406,0.37,0.471,0.403,0.431,0.418,0.5,0.403,0.488,0.418,0.455,0.439,0.438,0.459,0.6,0.37,0.431,0.418,0.455,0.439,0.453,0.446,0.5,0.41,0.438,0.446,0.455,0.432,0.431,0.578
[1 0 0 0 0 1],0.778,0.5,0.417,0.34,0.556,0.444,0.481,0.446,0.654,0.5,0.533,0.466,0.564,0.483,0.5,0.508,0.792,0.5,0.533,0.466,0.564,0.545,0.517,0.492,0.647,0.5,0.517,0.508,0.556,0.5,0.5,0.569,0.719,1.0,0.491,0.436,0.579,0.483,0.509,0.483,0.647,0.5,0.569,0.483,0.556,0.516,0.509,0.523,0.787,0.5,0.509,0.483,0.556,0.516,0.525,0.508,0.64,0.5,0.509,0.508,0.547,0.5,0.491,0.648
[1 0 0 0 1 0],0.671,0.5,0.5,0.46,0.391,0.312,0.5,0.485,0.52,0.446,0.462,0.414,0.525,0.484,0.5,0.521,0.533,0.587,0.5,0.452,0.472,0.5,0.483,0.477,0.564,0.5,0.5,0.507,0.517,0.5,0.5,0.575,0.594,0.509,1.0,0.469,0.481,0.421,0.5,0.493,0.538,0.475,0.533,0.46,0.509,0.507,0.5,0.528,0.548,0.612,0.5,0.493,0.491,0.492,0.516,0.514,0.564,0.508,0.5,0.514,0.517,0.507,0.5,0.649
[1 0 0 0 1 1],0.7,0.564,0.538,0.5,0.578,0.516,0.375,0.348,0.617,0.548,0.545,0.5,0.5,0.455,0.434,0.464,0.591,0.667,0.545,0.5,0.55,0.565,0.492,0.483,0.574,0.509,0.492,0.5,0.5,0.483,0.444,0.545,0.63,0.564,0.531,1.0,0.571,0.516,0.455,0.444,0.596,0.533,0.565,0.5,0.509,0.508,0.464,0.5,0.571,0.652,0.508,0.5,0.526,0.524,0.483,0.483,0.566,0.509,0.483,0.5,0.491,0.483,0.434,0.634
[1 0 0 1 0 0],0.619,0.411,0.519,0.419,0.5,0.444,0.475,0.455,0.333,0.356,0.524,0.455,0.5,0.47,0.484,0.5,0.448,0.4,0.6,0.4,0.5,0.527,0.5,0.486,0.467,0.5,0.516,0.5,0.5,0.493,0.492,0.561,0.529,0.421,0.519,0.429,1.0,0.453,0.475,0.463,0.429,0.463,0.565,0.478,0.5,0.507,0.5,0.52,0.484,0.45,0.617,0.463,0.5,0.507,0.515,0.507,0.467,0.508,0.516,0.507,0.5,0.5,0.492,0.636
[1 0 0 1 0 1],0.67,0.517,0.586,0.484,0.554,0.5,0.516,0.492,0.537,0.571,0.417,0.319,0.532,0.5,0.5,0.515,0.551,0.517,0.68,0.475,0.463,0.5,0.444,0.429,0.516,0.556,0.5,0.484,0.508,0.5,0.483,0.562,0.597,0.517,0.579,0.484,0.547,1.0,0.508,0.492,0.5,0.538,0.509,0.396,0.491,0.5,0.474,0.5,0.544,0.517,0.66,0.492,0.491,0.5,0.492,0.484,0.508,0.556,0.491,0.484,0.5,0.5,0.474,0.64
[1 0 0 1 1 0],0.648,0.482,0.5,0.537,0.525,0.483,0.5,0.508,0.508,0.554,0.516,0.508,0.37,0.354,0.5,0.544,0.523,0.5,0.516,0.638,0.5,0.544,0.5,0.516,0.446,0.5,0.444,0.5,0.491,0.5,0.5,0.597,0.569,0.491,0.5,0.545,0.525,0.492,1.0,0.516,0.492,0.545,0.545,0.517,0.442,0.475,0.5,0.551,0.508,0.491,0.483,0.646,0.482,0.508,0.5,0.523,0.483,0.545,0.483,0.54,0.491,0.508,0.5,0.67
[1 0 0 1 1 1],0.656,0.517,0.515,0.556,0.544,0.508,0.492,0.5,0.529,0.576,0.522,0.517,0.516,0.5,0.312,0.364,0.542,0.525,0.522,0.652,0.516,0.557,0.484,0.5,0.5,0.554,0.484,0.533,0.426,0.436,0.353,0.5,0.582,0.517,0.507,0.556,0.537,0.508,0.484,1.0,0.507,0.561,0.542,0.517,0.492,0.516,0.4,0.462,0.522,0.508,0.484,0.652,0.492,0.516,0.476,0.5,0.459,0.519,0.441,0.5,0.415,0.436,0.34,0.611
[1 0 1 0 0 0],0.611,0.34,0.462,0.393,0.538,0.456,0.474,0.452,0.5,0.476,0.579,0.469,0.517,0.5,0.5,0.514,0.364,0.298,0.541,0.469,0.652,0.557,0.516,0.5,0.5,0.484,0.571,0.514,0.517,0.523,0.508,0.575,0.5,0.353,0.462,0.404,0.571,0.5,0.508,0.493,1.0,0.484,0.619,0.493,0.517,0.537,0.516,0.534,0.462,0.411,0.525,0.493,0.652,0.537,0.531,0.521,0.5,0.492,0.571,0.521,0.517,0.53,0.508,0.649
[1 0 1 0 0 1],0.67,0.5,0.533,0.467,0.576,0.5,0.5,0.475,0.523,0.5,0.571,0.458,0.517,0.5,0.483,0.5,0.551,0.5,0.417,0.319,0.646,0.562,0.5,0.484,0.516,0.5,0.556,0.5,0.508,0.517,0.483,0.562,0.597,0.5,0.525,0.467,0.537,0.462,0.455,0.439,0.516,1.0,0.607,0.475,0.508,0.533,0.492,0.515,0.544,0.5,0.472,0.439,0.638,0.533,0.508,0.5,0.508,0.5,0.547,0.5,0.5,0.517,0.474,0.64
[1 0 1 0 1 0],0.594,0.422,0.467,0.426,0.435,0.482,0.455,0.451,0.435,0.439,0.5,0.418,0.443,0.484,0.455,0.487,0.451,0.422,0.467,0.418,0.25,0.5,0.438,0.443,0.443,0.456,0.5,0.473,0.435,0.5,0.455,0.541,0.512,0.431,0.467,0.435,0.435,0.491,0.455,0.458,0.381,0.393,1.0,0.391,0.426,0.507,0.455,0.494,0.466,0.448,0.467,0.458,0.371,0.571,0.471,0.48,0.443,0.464,0.5,0.48,0.435,0.507,0.455,0.618
[1 0 1 0 1 1],0.656,0.517,0.547,0.5,0.529,0.604,0.492,0.483,0.529,0.54,0.59,0.5,0.484,0.537,0.466,0.5,0.542,0.525,0.554,0.5,0.5,0.75,0.354,0.348,0.484,0.5,0.537,0.5,0.45,0.528,0.436,0.545,0.582,0.517,0.54,0.5,0.522,0.604,0.483,0.483,0.507,0.525,0.609,1.0,0.421,0.519,0.415,0.464,0.522,0.508,0.517,0.5,0.476,0.717,0.436,0.444,0.476,0.5,0.528,0.5,0.441,0.528,0.426,0.634
[1 0 1 1 0 0],0.634,0.434,0.491,0.481,0.5,0.5,0.558,0.5,0.483,0.483,0.532,0.556,0.5,0.525,0.526,0.545,0.5,0.464,0.517,0.5,0.5,0.582,0.681,0.531,0.348,0.362,0.525,0.6,0.5,0.548,0.534,0.605,0.545,0.444,0.491,0.491,0.5,0.509,0.558,0.508,0.483,0.492,0.574,0.579,1.0,0.562,0.542,0.565,0.464,0.434,0.463,0.491,0.5,0.562,0.694,0.552,0.444,0.464,0.525,0.607,0.5,0.556,0.534,0.677
[1 0 1 1 0 1],0.636,0.484,0.5,0.492,0.5,0.5,0.533,0.484,0.5,0.5,0.485,0.5,0.478,0.5,0.484,0.507,0.514,0.484,0.5,0.483,0.446,0.533,0.583,0.459,0.478,0.484,0.32,0.4,0.455,0.5,0.467,0.554,0.561,0.484,0.493,0.492,0.493,0.5,0.525,0.484,0.463,0.467,0.493,0.481,0.438,1.0,0.458,0.492,0.507,0.484,0.477,0.5,0.4,0.462,0.556,0.441,0.471,0.484,0.404,0.491,0.446,0.5,0.458,0.633
[1 0 1 1 1 0],0.64,0.482,0.5,0.527,0.5,0.518,0.5,0.593,0.5,0.517,0.516,0.577,0.475,0.518,0.5,0.587,0.515,0.5,0.516,0.536,0.475,0.578,0.5,0.702,0.475,0.5,0.483,0.6,0.333,0.413,0.5,0.639,0.562,0.491,0.5,0.536,0.5,0.526,0.5,0.6,0.484,0.508,0.545,0.585,0.458,0.542,1.0,0.594,0.5,0.491,0.483,0.544,0.458,0.542,0.5,0.708,0.439,0.473,0.444,0.577,0.429,0.509,0.5,0.708
[1 0 1 1 1 1],0.618,0.477,0.479,0.5,0.487,0.5,0.457,0.538,0.487,0.5,0.486,0.536,0.458,0.492,0.415,0.5,0.5,0.485,0.486,0.5,0.458,0.549,0.449,0.636,0.458,0.477,0.449,0.552,0.409,0.467,0.208,0.4,0.541,0.477,0.472,0.5,0.48,0.5,0.449,0.538,0.466,0.485,0.506,0.536,0.435,0.508,0.406,1.0,0.48,0.469,0.449,0.5,0.435,0.508,0.441,0.636,0.418,0.443,0.406,0.519,0.316,0.385,0.191,0.571
[1 1 0 0 0 0],0.571,0.196,0.37,0.333,0.483,0.413,0.458,0.438,0.538,0.448,0.493,0.455,0.536,0.456,0.484,0.5,0.5,0.413,0.493,0.455,0.5,0.513,0.5,0.486,0.636,0.456,0.485,0.5,0.536,0.479,0.492,0.561,0.4,0.213,0.452,0.429,0.516,0.456,0.492,0.478,0.538,0.456,0.534,0.478,0.536,0.493,0.5,0.52,1.0,0.422,0.477,0.478,0.5,0.493,0.515,0.507,0.636,0.464,0.485,0.507,0.536,0.486,0.492,0.636
[1 1 0 0 0 1],0.7,0.5,0.483,0.444,0.526,0.444,0.481,0.455,0.596,0.5,0.516,0.474,0.574,0.483,0.5,0.516,0.585,0.5,0.516,0.474,0.534,0.545,0.517,0.5,0.688,0.5,0.5,0.516,0.566,0.5,0.5,0.577,0.63,0.5,0.388,0.348,0.55,0.483,0.509,0.492,0.589,0.5,0.552,0.492,0.566,0.516,0.509,0.531,0.578,1.0,0.492,0.492,0.526,0.516,0.525,0.516,0.681,0.5,0.492,0.516,0.558,0.5,0.491,0.655
[1 1 0 0 1 0],0.648,0.482,0.5,0.483,0.473,0.426,0.517,0.508,0.456,0.5,0.462,0.436,0.554,0.5,0.517,0.544,0.508,0.482,0.5,0.475,0.463,0.516,0.5,0.5,0.5,0.646,0.5,0.53,0.545,0.516,0.517,0.597,0.569,0.491,0.5,0.492,0.383,0.34,0.517,0.516,0.475,0.528,0.533,0.483,0.537,0.523,0.517,0.551,0.523,0.508,1.0,0.516,0.482,0.508,0.533,0.537,0.5,0.653,0.5,0.537,0.545,0.523,0.517,0.67
[1 1 0 0 1 1],0.656,0.517,0.515,0.5,0.544,0.508,0.456,0.444,0.529,0.576,0.522,0.5,0.5,0.446,0.426,0.464,0.542,0.525,0.522,0.5,0.516,0.557,0.483,0.483,0.484,0.63,0.468,0.5,0.5,0.475,0.436,0.545,0.582,0.517,0.507,0.5,0.537,0.508,0.354,0.348,0.507,0.561,0.542,0.5,0.509,0.5,0.456,0.5,0.522,0.508,0.484,1.0,0.492,0.516,0.475,0.483,0.476,0.63,0.459,0.5,0.491,0.475,0.426,0.634
[1 1 0 1 0 0],0.634,0.434,0.509,0.464,0.5,0.5,0.518,0.5,0.444,0.444,0.589,0.5,0.5,0.564,0.526,0.545,0.464,0.423,0.5,0.444,0.5,0.582,0.542,0.531,0.483,0.492,0.681,0.545,0.5,0.586,0.534,0.605,0.545,0.444,0.509,0.474,0.5,0.509,0.518,0.508,0.348,0.362,0.629,0.524,0.5,0.6,0.542,0.565,0.5,0.474,0.518,0.508,1.0,0.562,0.557,0.552,0.483,0.5,0.681,0.552,0.5,0.593,0.534,0.677
[1 1 0 1 0 1],0.636,0.484,0.515,0.476,0.5,0.5,0.5,0.484,0.5,0.5,0.5,0.411,0.478,0.538,0.484,0.507,0.514,0.484,0.515,0.468,0.41,0.5,0.429,0.421,0.478,0.484,0.583,0.476,0.455,0.538,0.467,0.554,0.561,0.484,0.508,0.476,0.493,0.5,0.492,0.484,0.463,0.467,0.429,0.283,0.438,0.538,0.458,0.492,0.507,0.484,0.492,0.484,0.438,1.0,0.475,0.476,0.471,0.484,0.574,0.476,0.446,0.538,0.458,0.633
[1 1 0 1 1 0],0.626,0.466,0.484,0.509,0.485,0.5,0.5,0.516,0.485,0.5,0.5,0.556,0.424,0.5,0.5,0.552,0.5,0.483,0.5,0.517,0.46,0.561,0.5,0.524,0.424,0.446,0.429,0.644,0.452,0.554,0.5,0.605,0.547,0.475,0.484,0.517,0.485,0.508,0.5,0.524,0.469,0.492,0.529,0.564,0.306,0.444,0.5,0.559,0.485,0.475,0.467,0.525,0.443,0.525,1.0,0.531,0.46,0.492,0.467,0.68,0.452,0.561,0.5,0.677
[1 1 0 1 1 1],0.63,0.492,0.493,0.517,0.5,0.516,0.485,0.5,0.5,0.515,0.5,0.556,0.471,0.544,0.404,0.462,0.513,0.5,0.5,0.517,0.471,0.565,0.477,0.5,0.471,0.492,0.463,0.667,0.383,0.48,0.346,0.5,0.554,0.492,0.486,0.517,0.493,0.516,0.477,0.5,0.479,0.5,0.52,0.556,0.448,0.559,0.292,0.364,0.493,0.484,0.463,0.517,0.448,0.524,0.469,1.0,0.431,0.458,0.419,0.636,0.373,0.48,0.333,0.611
[1 1 1 0 0 0],0.611,0.347,0.436,0.423,0.5,0.448,0.482,0.5,0.5,0.484,0.516,0.5,0.556,0.492,0.545,0.562,0.462,0.407,0.516,0.5,0.517,0.549,0.525,0.548,0.5,0.492,0.508,0.545,0.652,0.515,0.554,0.622,0.5,0.36,0.436,0.434,0.533,0.492,0.517,0.541,0.5,0.492,0.557,0.524,0.556,0.529,0.561,0.582,0.364,0.319,0.5,0.524,0.517,0.529,0.54,0.569,1.0,0.5,0.508,0.552,0.652,0.522,0.554,0.692
[1 1 1 0 0 1],0.663,0.5,0.5,0.491,0.531,0.483,0.5,0.518,0.515,0.5,0.5,0.482,0.544,0.483,0.519,0.542,0.543,0.5,0.467,0.442,0.508,0.545,0.5,0.526,0.508,0.5,0.484,0.525,0.625,0.5,0.519,0.603,0.59,0.5,0.492,0.491,0.492,0.444,0.455,0.481,0.508,0.5,0.536,0.5,0.536,0.516,0.527,0.557,0.536,0.5,0.347,0.37,0.5,0.516,0.508,0.542,0.5,1.0,0.475,0.525,0.617,0.5,0.509,0.679
[1 1 1 0 1 0],0.64,0.482,0.5,0.509,0.484,0.5,0.517,0.552,0.484,0.5,0.5,0.5,0.492,0.574,0.556,0.587,0.5,0.482,0.5,0.5,0.396,0.518,0.5,0.544,0.492,0.517,0.5,0.556,0.484,0.688,0.556,0.639,0.562,0.491,0.5,0.517,0.484,0.509,0.517,0.559,0.429,0.453,0.5,0.472,0.475,0.596,0.556,0.594,0.515,0.508,0.5,0.541,0.319,0.426,0.533,0.581,0.492,0.525,1.0,0.562,0.484,0.694,0.556,0.708
[1 1 1 0 1 1],0.63,0.492,0.493,0.5,0.5,0.516,0.469,0.5,0.5,0.515,0.5,0.5,0.456,0.527,0.474,0.517,0.513,0.5,0.5,0.5,0.471,0.565,0.424,0.462,0.456,0.475,0.446,0.5,0.422,0.609,0.444,0.562,0.554,0.492,0.486,0.5,0.493,0.516,0.46,0.5,0.479,0.5,0.52,0.5,0.393,0.509,0.423,0.481,0.493,0.484,0.463,0.5,0.448,0.524,0.32,0.364,0.448,0.475,0.438,1.0,0.413,0.609,0.434,0.65
[1 1 1 1 0 0],0.634,0.442,0.483,0.5,0.5,0.491,0.509,0.577,0.483,0.491,0.524,0.536,0.5,0.517,0.556,0.667,0.5,0.473,0.508,0.519,0.5,0.574,0.533,0.607,0.444,0.463,0.516,0.581,0.5,0.54,0.66,0.719,0.545,0.453,0.483,0.509,0.5,0.5,0.509,0.585,0.483,0.5,0.565,0.559,0.5,0.554,0.571,0.684,0.464,0.442,0.455,0.509,0.5,0.554,0.548,0.627,0.348,0.383,0.516,0.587,1.0,0.547,0.66,0.778
[1 1 1 1 0 1],0.643,0.5,0.5,0.517,0.507,0.5,0.5,0.564,0.507,0.516,0.485,0.491,0.485,0.5,0.517,0.63,0.521,0.5,0.5,0.509,0.453,0.533,0.467,0.538,0.485,0.5,0.414,0.481,0.462,0.5,0.583,0.672,0.568,0.5,0.493,0.517,0.5,0.5,0.492,0.564,0.47,0.483,0.493,0.472,0.444,0.5,0.491,0.615,0.514,0.5,0.477,0.525,0.407,0.462,0.439,0.52,0.478,0.5,0.306,0.391,0.453,1.0,0.574,0.74
[1 1 1 1 1 0],0.648,0.5,0.5,0.558,0.508,0.518,0.5,0.653,0.508,0.534,0.516,0.566,0.483,0.518,0.5,0.804,0.523,0.518,0.516,0.566,0.483,0.578,0.5,0.66,0.483,0.518,0.483,0.589,0.436,0.5,0.5,0.979,0.569,0.509,0.5,0.566,0.508,0.526,0.5,0.66,0.492,0.526,0.545,0.574,0.466,0.542,0.5,0.809,0.508,0.509,0.483,0.574,0.466,0.542,0.5,0.667,0.446,0.491,0.444,0.566,0.34,0.426,1.0,0.984
[1 1 1 1 1 1],0.5,0.352,0.357,0.366,0.37,0.36,0.337,0.389,0.37,0.374,0.364,0.366,0.344,0.352,0.3,0.429,0.382,0.36,0.364,0.366,0.344,0.406,0.33,0.389,0.344,0.352,0.33,0.381,0.3,0.329,0.222,0.5,0.422,0.352,0.351,0.366,0.364,0.36,0.33,0.389,0.351,0.36,0.382,0.366,0.323,0.367,0.292,0.429,0.364,0.345,0.33,0.366,0.323,0.367,0.323,0.389,0.308,0.321,0.292,0.35,0.222,0.26,0.016,1.0
